股票代號,股票名稱,YahooFinanceSymbol,YearStartPrice
6126,信音,6126.TWO,29.15
6127,九豪,6127.TWO,28.10
6128,上福,6128.TW,34.05
6129,普誠,6129.TWO,17.05
6130,上亞科技,6130.TWO,24.00
6133,金橋,6133.TW,18.55
6134,萬旭,6134.TWO,28.90
6136,富爾特,6136.TW,22.80
6138,茂達,6138.TWO,172.00
6139,亞翔,6139.TW,226.00
6140,訊達,6140.TWO,24.20
6141,柏承,6141.TW,16.00
6142,友勁,6142.TW,11.90
6143,振曜,6143.TWO,117.00
6144,得利影,6144.TWO,30.55
6146,耕興,6146.TWO,207.50
6147,頎邦,6147.TWO,64.30
6148,驊宏資,6148.TWO,25.00
6150,撼訊,6150.TWO,70.60
6151,晉倫,6151.TWO,38.60
6152,百一,6152.TW,12.80
6153,嘉聯益,6153.TW,15.25
6154,順發,6154.TWO,15.85
6155,鈞寶,6155.TW,26.05
6156,松上,6156.TWO,25.65
6158,禾昌,6158.TWO,29.10
6160,欣技,6160.TWO,24.85
6161,捷波,6161.TWO,49.05
6163,華電網,6163.TWO,22.45
6164,華興,6164.TW,13.80
6165,浪凡,6165.TW,43.45
6166,凌華,6166.TW,77.10
6167,久正,6167.TWO,14.40
6168,宏齊,6168.TW,22.80
6169,昱泉,6169.TWO,20.70
6170,統振,6170.TWO,48.20
6171,大城地產,6171.TWO,41.10
6173,信昌電,6173.TWO,42.60
6174,安碁,6174.TWO,23.85
6175,立敦,6175.TWO,39.15
6176,瑞儀,6176.TW,195.50
6177,達麗,6177.TW,44.15
6179,亞通,6179.TWO,27.45
6180,橘子,6180.TWO,77.30
6182,合晶,6182.TWO,27.15
6183,關貿,6183.TW,85.10
6184,大豐電,6184.TW,51.60
6185,幃翔,6185.TWO,15.00
6186,新潤,6186.TWO,63.90
6187,萬潤,6187.TWO,405.50
6188,廣明,6188.TWO,112.50
6189,豐藝,6189.TW,79.60
6190,萬泰科,6190.TWO,35.60
6191,精成科,6191.TW,57.50
6192,巨路,6192.TW,115.00
6194,育富,6194.TWO,36.80
6195,詩肯,6195.TWO,34.40
6196,帆宣,6196.TW,147.00
6197,佳必琪,6197.TW,147.50
6198,瑞築,6198.TWO,42.50
6199,天品,6199.TWO,128.50
6201,亞弘電,6201.TW,56.60
6202,盛群,6202.TW,47.20
6203,海韻電,6203.TWO,69.60
6204,艾華,6204.TWO,57.60
6205,詮欣,6205.TW,75.80
6206,飛捷,6206.TW,87.90
6207,雷科,6207.TWO,55.00
6208,日揚,6208.TWO,50.00
6209,今國光,6209.TW,29.60
6210,慶生,6210.TWO,21.40
6212,理銘,6212.TWO,57.70
6213,聯茂,6213.TW,78.70
6214,精誠,6214.TW,145.00
6215,和椿,6215.TW,92.00
6216,居易,6216.TW,40.80
6217,中探針,6217.TWO,37.33
6218,豪勉,6218.TWO,27.85
6219,富旺,6219.TWO,43.10
6220,岳豐,6220.TWO,27.05
6221,晉泰,6221.TWO,64.80
6222,上揚,6222.TWO,28.45
6223,旺矽,6223.TWO,923.00
6224,聚鼎,6224.TW,58.00
6225,天瀚,6225.TW,14.10
6226,光鼎,6226.TW,8.86
6227,茂綸,6227.TWO,83.30
6228,全譜,6228.TWO,27.45
6229,研通,6229.TWO,30.60
6230,尼得科超眾,6230.TW,194.00
6231,系微,6231.TWO,386.50
6233,旺玖,6233.TWO,27.90
6234,高僑,6234.TWO,27.95
6235,華孚,6235.TW,69.10
6236,中湛,6236.TWO,29.90
6237,驊訊,6237.TWO,53.80
6239,力成,6239.TW,121.00
6240,松崗,6240.TWO,20.70
6241,易通展,6241.TWO,15.85
6242,立康,6242.TWO,42.50
6243,迅杰,6243.TW,47.50
6244,茂迪,6244.TWO,21.00
6245,立端,6245.TWO,97.50
6246,臺龍,6246.TWO,14.75
6248,沛波,6248.TWO,27.15
6257,矽格,6257.TW,67.60
6259,百徽,6259.TWO,19.60
6261,久元,6261.TWO,63.80
6263,普萊德,6263.TWO,150.00
6264,富裔,6264.TWO,9.12
6265,方土昶,6265.TWO,10.55
6266,泰詠,6266.TWO,32.25
6269,台郡,6269.TW,64.30
6270,倍微,6270.TWO,25.35
6271,同欣電,6271.TW,139.00
6274,台燿,6274.TWO,173.00
6275,元山,6275.TWO,46.00
6276,安鈦克,6276.TWO,32.00
6277,宏正,6277.TW,75.40
6278,台表科,6278.TW,108.50
6279,胡連,6279.TWO,176.00
6281,全國電,6281.TW,82.30
6282,康舒,6282.TW,30.30
6283,淳安,6283.TW,27.35
6284,佳邦,6284.TWO,83.50
6285,啟碁,6285.TW,137.50
6287,元隆,6287.TWO,14.85
6288,聯嘉,6288.TW,26.50
6290,良維,6290.TWO,74.50
6291,沛亨,6291.TWO,95.00
6292,迅德,6292.TWO,52.00
6294,智基,6294.TWO,61.00
6405,悅城,6405.TW,32.30
6409,旭隼,6409.TW,1850.00
6411,晶焱,6411.TWO,85.70
6412,群電,6412.TW,119.00
6414,樺漢,6414.TW,292.50
6415,矽力*-KY,6415.TW,407.00
6416,瑞祺電通,6416.TW,110.00
6417,韋僑,6417.TWO,101.50
6418,詠昇,6418.TWO,20.20
6419,京晨科,6419.TWO,104.00
6423,億而得-創,6423.TW,98.40
6425,易發,6425.TWO,76.00
6426,統新,6426.TW,85.50
6431,光麗-KY,6431.TW,14.40
6432,今展科,6432.TWO,27.55
6435,大中,6435.TWO,96.10
6438,迅得,6438.TW,210.00
6441,廣錠,6441.TWO,35.10
6442,光聖,6442.TW,654.00
6443,元晶,6443.TW,18.20
6446,藥華藥,6446.TW,617.00
6449,鈺邦,6449.TW,148.00
6451,訊芯-KY,6451.TW,240.00
6456,GIS-KY,6456.TW,50.30
6461,益得,6461.TWO,26.30
6462,神盾,6462.TWO,177.00
6464,台數科,6464.TW,79.50
6465,威潤,6465.TWO,20.60
6469,大樹,6469.TWO,146.50
6470,宇智,6470.TWO,54.50
6472,保瑞,6472.TW,754.00
6477,安集,6477.TW,30.95
6482,弘煜科,6482.TWO,49.95
6485,點序,6485.TWO,44.40
6486,互動,6486.TWO,83.40
6488,環球晶,6488.TWO,383.00
6491,晶碩,6491.TW,375.50
6492,生華科,6492.TWO,43.45
6494,九齊,6494.TWO,49.70
6496,科懋,6496.TWO,29.95
6499,益安,6499.TWO,39.65
6504,南六,6504.TW,63.60
6505,台塑化,6505.TW,34.35
6506,雙邦,6506.TWO,16.60
6508,惠光,6508.TWO,29.60
6509,聚和,6509.TWO,38.05
6510,精測,6510.TWO,885.00
6512,啟發電,6512.TWO,23.25
6515,穎崴,6515.TW,1125.00
6516,勤崴國際,6516.TWO,70.50
6517,保勝光學,6517.TWO,77.50
6523,達爾膚,6523.TWO,151.50
6525,捷敏-KY,6525.TW,65.50
6526,達發,6526.TW,699.00
6527,明達醫,6527.TWO,85.80
6530,創威,6530.TWO,69.50
6531,愛普*,6531.TW,316.50
6532,瑞耘,6532.TWO,69.90
6533,晶心科,6533.TW,413.00
6534,正瀚-創,6534.TW,80.50
6535,順藥,6535.TWO,242.00
6538,倉和,6538.TWO,104.50
6541,泰福-KY,6541.TW,65.30
6542,隆中,6542.TWO,58.40
6546,正基,6546.TWO,151.50
6547,高端疫苗,6547.TWO,36.05
6548,長科*,6548.TWO,33.45
6550,北極星藥業-KY,6550.TW,45.60
6552,易華電,6552.TW,36.55
6556,勝品,6556.TWO,83.00
6558,興能高,6558.TW,39.30
6560,欣普羅,6560.TWO,30.40
6561,是方,6561.TWO,474.50
6568,宏觀,6568.TWO,120.00
6569,醫揚,6569.TWO,153.00
6570,維田,6570.TWO,51.80
6573,虹揚-KY,6573.TW,15.35
6574,霈方,6574.TWO,53.10
6576,逸達,6576.TWO,77.50
6577,勁豐,6577.TWO,92.80
6578,達邦蛋白,6578.TWO,19.80
6579,研揚,6579.TW,126.50
6581,鋼聯,6581.TW,115.00
6582,申豐,6582.TW,60.60
6584,南俊國際,6584.TWO,173.50
6585,鼎基,6585.TW,147.00
6588,東典光電,6588.TWO,39.20
6589,台康生技,6589.TWO,72.00
6590,普鴻,6590.TWO,74.80
6591,動力-KY,6591.TW,52.90
6592,和潤企業,6592.TW,76.70
6593,台灣銘板,6593.TWO,71.90
6596,寬宏藝術,6596.TWO,93.00
6598,ABC-KY,6598.TW,20.15
6603,富強鑫,6603.TWO,16.85
6605,帝寶,6605.TW,215.50
6606,建德工業,6606.TW,27.20
6609,瀧澤科,6609.TWO,81.90
6612,奈米醫材,6612.TWO,123.00
6613,朋億*,6613.TWO,180.00
6615,慧智,6615.TWO,40.35
6616,特昇-KY,6616.TWO,10.55
6617,共信-KY,6617.TWO,112.00
6624,萬年清,6624.TWO,37.15
6625,必應,6625.TW,87.10
6629,泰金-KY,6629.TWO,116.00
6637,醫影,6637.TWO,92.90
6640,均華,6640.TWO,640.00
6641,基士德-KY,6641.TW,31.25
6642,富致,6642.TWO,68.50
6643,M31,6643.TWO,758.00
6645,金萬林-創,6645.TW,23.65
6649,台生材,6649.TWO,33.95
6651,全宇昕,6651.TWO,92.40
6654,天正國際,6654.TWO,43.20
6655,科定,6655.TW,129.50
6657,華安,6657.TW,50.20
6658,聯策,6658.TW,75.00
6661,威健生技,6661.TWO,23.10
6662,樂斯科,6662.TWO,33.10
6664,群翊,6664.TWO,242.00
6666,羅麗芬-KY,6666.TW,50.00
6667,信紘科,6667.TWO,180.00
6668,中揚光,6668.TW,52.10
6669,緯穎,6669.TW,2600.00
6670,復盛應用,6670.TW,315.00
6671,三能-KY,6671.TW,41.80
6672,騰輝電子-KY,6672.TW,63.90
6674,鋐寶科技,6674.TW,24.20
6679,鈺太,6679.TWO,324.00
6680,鑫創電子,6680.TWO,88.90
6683,雍智科技,6683.TWO,427.50
6684,安格,6684.TWO,68.70
6689,伊雲谷,6689.TW,122.00
6690,安碁資訊,6690.TWO,207.00
6691,洋基工程,6691.TW,429.00
6692,進能服,6692.TWO,37.50
6693,廣閎科,6693.TWO,85.00
6695,芯鼎,6695.TW,67.00
6697,東捷資訊,6697.TWO,45.40
6698,旭暉應材,6698.TW,37.50
6703,軒郁,6703.TWO,156.50
6706,惠特,6706.TW,125.50
6708,天擎,6708.TWO,47.35
6712,長聖,6712.TWO,174.50
6715,嘉基,6715.TW,157.50
6716,應廣,6716.TWO,81.30
6719,力智,6719.TW,224.50
6720,久昌,6720.TWO,155.50
6721,信實,6721.TWO,58.70
6727,亞泰金屬,6727.TWO,84.00
6728,上洋,6728.TWO,123.00
6732,昇佳電子,6732.TWO,252.50
6733,博晟生醫,6733.TWO,33.75
6735,美達科技,6735.TWO,58.00
6739,竹陞科技,6739.TWO,204.00
6741,91APP*-KY,6741.TWO,84.40
6742,澤米,6742.TW,67.00
6743,安普新,6743.TW,42.00
6747,亨泰光,6747.TWO,132.50
6751,智聯服務,6751.TWO,56.00
6752,叡揚,6752.TWO,126.50
6753,龍德造船,6753.TW,102.00
6754,匯僑設計,6754.TW,64.10
6756,威鋒電子,6756.TW,129.00
6757,台灣虎航,6757.TW,78.10
6761,穩得,6761.TWO,91.00
6762,達亞,6762.TWO,270.00
6763,綠界科技*,6763.TWO,61.80
6767,台微醫,6767.TWO,35.70
6768,志強-KY,6768.TW,119.00
6770,力積電,6770.TW,15.85
6771,平和環保-創,6771.TW,59.60
6776,展碁國際,6776.TW,60.30
6781,AES-KY,6781.TW,1135.00
6782,視陽,6782.TW,178.50
6785,昱展新藥,6785.TWO,142.00
6788,華景電,6788.TWO,221.00
6789,采鈺,6789.TW,308.50
6790,永豐實,6790.TW,41.10
6791,虎門科技,6791.TWO,140.50
6792,詠業,6792.TW,64.00
6794,向榮生技-創,6794.TW,69.90
6796,晉弘,6796.TW,91.90
6799,來頡,6799.TW,96.50
6803,崑鼎,6803.TWO,286.50
6804,明係,6804.TWO,30.90
6805,富世達,6805.TW,814.00
6806,森崴能源,6806.TW,114.00
6807,峰源-KY,6807.TW,86.10
6811,宏碁資訊,6811.TWO,283.50
6821,聯寶,6821.TWO,43.80
6823,濾能,6823.TWO,62.80
6829,千附精密,6829.TWO,127.00
6830,汎銓,6830.TW,158.50
6834,天二科技,6834.TW,30.85
6835,圓裕,6835.TW,39.60
6838,台新藥,6838.TW,37.50
6840,東研信超,6840.TWO,50.50
6841,長佳智能,6841.TWO,71.80
6843,進典,6843.TWO,50.00
6844,諾貝兒,6844.TWO,142.00
6846,綠茵,6846.TWO,80.50
6854,錼創科技-KY創,6854.TW,200.50
6855,數泓科,6855.TWO,156.00
6856,鑫傳,6856.TWO,62.70
6859,伯特光,6859.TWO,188.50
6861,睿生光電,6861.TW,60.70
6862,三集瑞-KY,6862.TW,165.00
6863,永道-KY,6863.TW,234.00
6865,偉康科技,6865.TWO,62.70
6869,雲豹能源,6869.TW,177.00
6870,騰雲,6870.TWO,221.00
6873,泓德能源,6873.TW,209.50
6874,倍力,6874.TWO,96.00
6875,國邑*,6875.TWO,53.70
6877,鏵友益,6877.TWO,93.70
6881,潤德,6881.TWO,235.50
6885,全福生技,6885.TW,31.05
6890,來億-KY,6890.TW,385.00
6894,衛司特,6894.TWO,184.50
6895,宏碩系統,6895.TWO,191.50
6899,創為精密,6899.TWO,50.80
6901,鑽石投資,6901.TW,32.25
6902,GOGOLOOK-創,6902.TW,118.50
6903,巨漢,6903.TWO,131.50
6904,伯鑫,6904.TWO,139.50
6906,現觀科,6906.TW,146.00
6913,鴻呈,6913.TWO,124.00
6914,阜爾運通,6914.TW,120.00
6916,華凌,6916.TW,24.35
6919,康霈*,6919.TW,621.00
6922,宸曜,6922.TWO,204.00
6923,中台,6923.TW,80.90
6924,榮惠-KY創,6924.TW,89.60
6928,攸泰科技,6928.TW,73.60
6929,佑全,6929.TWO,38.90
6933,AMAX-KY,6933.TW,210.00
6937,天虹,6937.TW,372.00
6949,沛爾生醫-創,6949.TW,81.60
6951,青新-創,6951.TW,74.20
6952,大武山,6952.TW,49.20
6953,家碩,6953.TWO,216.50
6955,邦睿生技-創,6955.TW,151.00
6957,裕慶-KY,6957.TW,233.50
6958,日盛台駿,6958.TW,24.30
6962,ITH-KY,6962.TW,54.80
6967,汎瑋材料,6967.TWO,52.10
6968,萬達寵物,6968.TWO,60.30
6969,成信實業*-創,6969.TW,43.10
6982,大井泵浦,6982.TWO,79.00
6988,威力暘-創,6988.TW,25.50
6996,力領科技,6996.TWO,233.50
6997,博弘,6997.TWO,130.00
7402,邑錡,7402.TWO,85.20
7556,意德士,7556.TWO,164.00
7584,樂意,7584.TWO,78.90
7703,銳澤,7703.TWO,142.50
7704,明遠精密,7704.TWO,78.80
7705,三商餐飲,7705.TW,70.90
7708,全家餐飲,7708.TWO,91.10
7712,博盛半導體,7712.TWO,220.00
7722,LINEPAY,7722.TW,461.00
8011,台通,8011.TW,24.40
8016,矽創,8016.TW,213.00
8021,尖點,8021.TW,33.60
8024,佑華,8024.TWO,18.25
8027,鈦昇,8027.TWO,86.70
8028,昇陽半導體,8028.TW,138.50
8032,光菱,8032.TWO,62.50
8033,雷虎,8033.TW,70.90
8034,榮群,8034.TWO,20.45
8038,長園科,8038.TWO,27.30
8039,台虹,8039.TW,44.80
8040,九暘,8040.TWO,75.00
8042,金山電,8042.TWO,40.65
8043,蜜望實,8043.TWO,32.50
8044,網家,8044.TWO,43.45
8045,達運光電,8045.TW,76.00
8046,南電,8046.TW,129.00
8047,星雲,8047.TWO,22.90
8048,德勝,8048.TWO,50.40
8049,晶采,8049.TWO,32.35
8050,廣積,8050.TWO,73.60
8054,安國,8054.TWO,138.00
8059,凱碩,8059.TWO,36.05
8064,東捷,8064.TWO,53.70
8066,來思達,8066.TWO,26.85
8067,志旭,8067.TWO,18.80
8068,全達,8068.TWO,28.20
8069,元太,8069.TWO,273.00
8070,長華*,8070.TW,45.85
8071,能率網通,8071.TWO,23.70
8072,陞泰,8072.TW,24.45
8074,鉅橡,8074.TWO,22.05
8076,伍豐,8076.TWO,30.95
8077,洛碁,8077.TWO,45.95
8080,印鉐,8080.TWO,34.35
8081,致新,8081.TW,240.50
8083,瑞穎,8083.TWO,165.00
8084,巨虹,8084.TWO,67.10
8085,福華,8085.TWO,32.60
8086,宏捷科,8086.TWO,111.00
8087,麗升能源,8087.TWO,46.85
8088,品安,8088.TWO,20.00
8089,康全電訊,8089.TWO,78.90
8091,翔名,8091.TWO,124.50
8092,建暐,8092.TWO,20.75
8093,保銳,8093.TWO,20.60
8096,擎亞,8096.TWO,38.15
8097,常珵,8097.TWO,84.80
8099,大世科,8099.TWO,84.10
8101,華冠,8101.TW,19.40
8103,瀚荃,8103.TW,48.75
8104,錸寶,8104.TW,44.10
8105,凌巨,8105.TW,14.90
8107,大億金茂,8107.TWO,19.05
8109,博大,8109.TWO,91.70
8110,華東,8110.TW,13.95
8111,立碁,8111.TWO,53.90
8112,至上,8112.TW,59.10
8114,振樺電,8114.TW,366.00
8121,越峰,8121.TWO,27.80
8131,福懋科,8131.TW,28.15
8147,正淩,8147.TWO,114.00
8150,南茂,8150.TW,31.35
8155,博智,8155.TWO,120.00
8162,微矽電子-創,8162.TW,40.45
8163,達方,8163.TW,43.30
8171,天宇,8171.TWO,35.50
8176,智捷,8176.TWO,14.30
8182,加高,8182.TWO,32.55
8183,精星,8183.TWO,39.75
8201,無敵,8201.TW,16.00
8210,勤誠,8210.TW,266.50
8213,志超,8213.TW,34.10
8215,明基材,8215.TW,30.00
8222,寶一,8222.TW,39.65
8227,巨有科技,8227.TWO,182.00
8234,新漢,8234.TWO,65.60
8240,華宏,8240.TWO,45.90
8249,菱光,8249.TW,63.00
8255,朋程,8255.TWO,166.50
8261,富鼎,8261.TW,91.50
8271,宇瞻,8271.TW,44.80
8272,全景軟體,8272.TWO,106.00
8277,商丞,8277.TWO,13.25
8279,生展,8279.TWO,130.00
8284,三竹,8284.TWO,65.50
8289,泰藝,8289.TWO,24.05
8291,尚茂,8291.TWO,7.18
8299,群聯,8299.TWO,528.00
8341,日友,8341.TW,85.70
8342,益張,8342.TWO,88.20
8349,恒耀,8349.TWO,61.20
8354,冠好,8354.TWO,14.90
8358,金居,8358.TWO,58.40
8367,建新國際,8367.TW,46.00
8374,羅昇,8374.TW,139.50
8383,千附,8383.TWO,45.40
8390,金益鼎,8390.TWO,61.20
8401,白紗科,8401.TWO,30.30
8403,盛弘,8403.TWO,29.00
8404,百和興業-KY,8404.TW,29.00
8409,商之器,8409.TWO,23.50
8410,森田,8410.TWO,80.40
8411,福貞-KY,8411.TW,13.25
8415,大國鋼,8415.TWO,33.75
8416,實威,8416.TWO,164.50
8421,旭源,8421.TWO,15.00
8422,可寧衛,8422.TW,180.00
8423,保綠-KY,8423.TWO,20.50
8424,惠普,8424.TWO,68.20
8426,紅木-KY,8426.TWO,43.50
8429,金麗-KY,8429.TW,11.00
8431,匯鑽科,8431.TWO,61.50
8432,東生華,8432.TWO,61.30
8433,弘帆,8433.TWO,85.50
8435,鉅邁,8435.TWO,72.50
8436,大江,8436.TWO,123.50
8437,大地-KY,8437.TWO,25.50
8438,昶昕,8438.TW,31.15
8440,綠電,8440.TWO,36.45
8442,威宏-KY,8442.TW,107.00
8443,阿瘦,8443.TW,11.50
8444,綠河-KY,8444.TWO,31.45
8446,華研,8446.TWO,116.00
8450,霹靂,8450.TWO,24.80
8454,富邦媒,8454.TW,335.00
8455,大拓-KY,8455.TWO,30.25
8462,柏文,8462.TW,112.50
8463,潤泰材,8463.TW,25.60
8464,億豐,8464.TW,366.50
8466,美吉吉-KY,8466.TW,41.00
8467,波力-KY,8467.TW,287.00
8472,夠麻吉,8472.TWO,25.15
8473,山林水,8473.TW,36.00
8476,台境*,8476.TW,24.60
8477,創業家,8477.TWO,12.30
8478,東哥遊艇,8478.TW,206.00
8481,政伸,8481.TW,50.10
8482,商億-KY,8482.TW,89.10
8487,愛爾達-創,8487.TW,73.70
8488,吉源-KY,8488.TW,14.00
8489,三貝德,8489.TWO,36.85
8499,鼎炫-KY,8499.TW,116.00
8905,裕國,8905.TWO,31.80
8906,花王,8906.TWO,36.00
8908,欣雄,8908.TWO,46.10
8916,光隆,8916.TWO,57.50
8917,欣泰,8917.TWO,63.90
8921,沈氏,8921.TWO,26.80
8923,時報,8923.TWO,19.20
8924,大田,8924.TWO,73.60
8926,台汽電,8926.TW,41.55
8927,北基,8927.TWO,49.25
8928,鉅明,8928.TWO,33.60
8929,富堡,8929.TWO,25.30
8930,青鋼,8930.TWO,34.55
8931,大汽電,8931.TWO,48.65
8932,智通*,8932.TWO,93.20
8933,愛地雅,8933.TWO,8.37
8935,邦泰,8935.TWO,22.35
8936,國統,8936.TWO,48.40
8937,合騏,8937.TWO,149.00
8938,明安,8938.TWO,74.90
8940,新天地,8940.TW,24.30
8941,關中,8941.TWO,66.40
8942,森鉅,8942.TWO,51.40
8996,高力,8996.TW,313.50
9103,美德醫療-DR,9103.TW,6.52
9105,泰金寶-DR,9105.TW,9.48
9110,越南控-DR,9110.TW,7.00
9136,巨騰-DR,9136.TW,6.75
9802,鈺齊-KY,9802.TW,118.00
9902,台火,9902.TW,15.95
9904,寶成,9904.TW,37.10
9905,大華,9905.TW,22.85
9906,欣巴巴,9906.TW,121.00
9907,統一實,9907.TW,15.20
9908,大台北,9908.TW,30.05
9910,豐泰,9910.TW,132.50
9911,櫻花,9911.TW,83.20
9912,偉聯,9912.TW,12.15
9914,美利達,9914.TW,153.00
9917,中保科,9917.TW,123.50
9918,欣天然,9918.TW,39.60
9919,康那香,9919.TW,18.50
9921,巨大,9921.TW,141.50
9924,福興,9924.TW,52.00
9925,新保,9925.TW,40.90
9926,新海,9926.TW,50.80
9927,泰銘,9927.TW,63.70
9928,中視,9928.TW,16.50
9929,秋雨,9929.TW,15.30
9930,中聯資源,9930.TW,66.80
9931,欣高,9931.TW,34.10
9933,中鼎,9933.TW,38.75
9934,成霖,9934.TW,13.65
9935,慶豐富,9935.TW,28.80
9937,全國,9937.TW,63.20
9938,百和,9938.TW,68.20
9939,宏全,9939.TW,147.00
9940,信義,9940.TW,28.50
9941,裕融,9941.TW,104.00
9942,茂順,9942.TW,113.00
9943,好樂迪,9943.TW,78.90
9944,新麗,9944.TW,20.75
9945,潤泰新,9945.TW,42.70
9946,三發地產,9946.TW,22.60
9949,琉園,9949.TWO,25.80
9950,萬國通,9950.TWO,15.40
9951,皇田,9951.TWO,53.80
9955,佳龍,9955.TW,28.45
9958,世紀鋼,9958.TW,164.00
9960,邁達康,9960.TWO,25.45
9962,有益,9962.TWO,14.55
0050,元大台灣50,0050.TW,195.65
0051,元大中型100,0051.TW,76.95
0052,富邦科技,0052.TW,194.35
0053,元大電子,0053.TW,103.00
0055,元大MSCI金融,0055.TW,28.12
0056,元大高股息,0056.TW,36.64
0057,富邦摩台,0057.TW,143.85
0061,元大寶滬深,0061.TW,19.60
